| Endereco Virtual: 10000000 | Endereco Fisico: 5760 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000001 | Endereco Fisico: 5761 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000010 | Endereco Fisico: 5770 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000011 | Endereco Fisico: 5771 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000100 | Endereco Fisico: 5860 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000101 | Endereco Fisico: 5861 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000110 | Endereco Fisico: 5870 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10000111 | Endereco Fisico: 5871 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001000 | Endereco Fisico: 6760 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001001 | Endereco Fisico: 6761 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001010 | Endereco Fisico: 6770 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001011 | Endereco Fisico: 6771 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001100 | Endereco Fisico: 6860 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001101 | Endereco Fisico: 6861 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001110 | Endereco Fisico: 6870 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10001111 | Endereco Fisico: 6871 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10010000 | Endereco Fisico: 7568 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10010001 | Endereco Fisico: 7569 | Tamanho: 4096 | id: 7
| Endereco Virtual: 10010010 | Endereco Fisico: 7578 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10010011 | Endereco Fisico: 7579 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10010100 | Endereco Fisico: 7668 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10010101 | Endereco Fisico: 7669 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10010110 | Endereco Fisico: 7678 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10010111 | Endereco Fisico: 7679 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011000 | Endereco Fisico: 4472 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011001 | Endereco Fisico: 4473 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011010 | Endereco Fisico: 4482 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011011 | Endereco Fisico: 4483 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011100 | Endereco Fisico: 4572 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011101 | Endereco Fisico: 4573 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011110 | Endereco Fisico: 4582 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10011111 | Endereco Fisico: 4583 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100000 | Endereco Fisico: 7456 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100001 | Endereco Fisico: 7457 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100010 | Endereco Fisico: 7466 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100011 | Endereco Fisico: 7467 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100100 | Endereco Fisico: 7556 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100101 | Endereco Fisico: 7557 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100110 | Endereco Fisico: 7566 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10100111 | Endereco Fisico: 7567 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10101000 | Endereco Fisico: 4360 | Tamanho: 4096 | id: 8
| Endereco Virtual: 10101001 | Endereco Fisico: 4361 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101010 | Endereco Fisico: 4370 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101011 | Endereco Fisico: 4371 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101100 | Endereco Fisico: 4460 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101101 | Endereco Fisico: 4461 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101110 | Endereco Fisico: 4470 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10101111 | Endereco Fisico: 4471 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110000 | Endereco Fisico: 5168 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110001 | Endereco Fisico: 5169 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110010 | Endereco Fisico: 5178 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110011 | Endereco Fisico: 5179 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110100 | Endereco Fisico: 5268 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110101 | Endereco Fisico: 5269 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110110 | Endereco Fisico: 5278 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10110111 | Endereco Fisico: 5279 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10111000 | Endereco Fisico: 6168 | Tamanho: 4096 | id: 9
| Endereco Virtual: 10111001 | Endereco Fisico: 6169 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111010 | Endereco Fisico: 6178 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111011 | Endereco Fisico: 6179 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111100 | Endereco Fisico: 6268 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111101 | Endereco Fisico: 6269 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111110 | Endereco Fisico: 6278 | Tamanho: 4096 | id: 10
| Endereco Virtual: 10111111 | Endereco Fisico: 6279 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000000 | Endereco Fisico: 6336 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000001 | Endereco Fisico: 6337 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000010 | Endereco Fisico: 6346 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000011 | Endereco Fisico: 6347 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000100 | Endereco Fisico: 6436 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000101 | Endereco Fisico: 6437 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000110 | Endereco Fisico: 6446 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11000111 | Endereco Fisico: 6447 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11001000 | Endereco Fisico: 7336 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11001001 | Endereco Fisico: 7337 | Tamanho: 4096 | id: 10
| Endereco Virtual: 11001010 | Endereco Fisico: 7346 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11001011 | Endereco Fisico: 7347 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11001100 | Endereco Fisico: 7436 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11001101 | Endereco Fisico: 7437 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11001110 | Endereco Fisico: 7446 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11001111 | Endereco Fisico: 7447 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010000 | Endereco Fisico: 8144 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010001 | Endereco Fisico: 8145 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010010 | Endereco Fisico: 8154 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010011 | Endereco Fisico: 8155 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010100 | Endereco Fisico: 4148 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010101 | Endereco Fisico: 4149 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010110 | Endereco Fisico: 4158 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11010111 | Endereco Fisico: 4159 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011000 | Endereco Fisico: 5048 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011001 | Endereco Fisico: 5049 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011010 | Endereco Fisico: 5058 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011011 | Endereco Fisico: 5059 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011100 | Endereco Fisico: 5148 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011101 | Endereco Fisico: 5149 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011110 | Endereco Fisico: 5158 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11011111 | Endereco Fisico: 5159 | Tamanho: 4096 | id: 11
| Endereco Virtual: 11100000 | Endereco Fisico: 8032 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100001 | Endereco Fisico: 8033 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100010 | Endereco Fisico: 8042 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100011 | Endereco Fisico: 8043 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100100 | Endereco Fisico: 8132 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100101 | Endereco Fisico: 8133 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100110 | Endereco Fisico: 8142 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11100111 | Endereco Fisico: 8143 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101000 | Endereco Fisico: 4936 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101001 | Endereco Fisico: 4937 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101010 | Endereco Fisico: 4946 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101011 | Endereco Fisico: 4947 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101100 | Endereco Fisico: 5036 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101101 | Endereco Fisico: 5037 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101110 | Endereco Fisico: 5046 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11101111 | Endereco Fisico: 5047 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11110000 | Endereco Fisico: 5744 | Tamanho: 4096 | id: 12
| Endereco Virtual: 11110001 | Endereco Fisico: 5745 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110010 | Endereco Fisico: 5754 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110011 | Endereco Fisico: 5755 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110100 | Endereco Fisico: 5844 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110101 | Endereco Fisico: 5845 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110110 | Endereco Fisico: 5854 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11110111 | Endereco Fisico: 5855 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111000 | Endereco Fisico: 6744 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111001 | Endereco Fisico: 6745 | Tamanho: 4096 | id: 13
Bloco de id 10 da página 6169 swap-out para o disco
Bloco de id 10 da página 6178 swap-out para o disco
Bloco de id 10 da página 6179 swap-out para o disco
Bloco de id 10 da página 6268 swap-out para o disco
Bloco de id 10 da página 6269 swap-out para o disco
Bloco de id 10 da página 6278 swap-out para o disco
Bloco de id 10 da página 6279 swap-out para o disco
Bloco de id 10 da página 6336 swap-out para o disco
Bloco de id 10 da página 6337 swap-out para o disco
Bloco de id 10 da página 6346 swap-out para o disco
Bloco de id 10 da página 6347 swap-out para o disco
Bloco de id 10 da página 6436 swap-out para o disco
Bloco de id 10 da página 6437 swap-out para o disco
Bloco de id 10 da página 6446 swap-out para o disco
Bloco de id 10 da página 6447 swap-out para o disco
Bloco de id 10 da página 7336 swap-out para o disco
Bloco de id 10 da página 7337 swap-out para o disco
| Endereco Virtual: 11111010 | Endereco Fisico: 6179 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111011 | Endereco Fisico: 6169 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111100 | Endereco Fisico: 6178 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111101 | Endereco Fisico: 6179 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111110 | Endereco Fisico: 6268 | Tamanho: 4096 | id: 13
| Endereco Virtual: 11111111 | Endereco Fisico: 6269 | Tamanho: 4096 | id: 13
| Endereco Virtual: 100000000 | Endereco Fisico: 6278 | Tamanho: 4096 | id: 13
| Endereco Virtual: 100000001 | Endereco Fisico: 6279 | Tamanho: 4096 | id: 13
| Endereco Virtual: 100000010 | Endereco Fisico: 6336 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100000011 | Endereco Fisico: 6337 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100000100 | Endereco Fisico: 6346 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100000101 | Endereco Fisico: 6347 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100000110 | Endereco Fisico: 6436 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100000111 | Endereco Fisico: 6437 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001000 | Endereco Fisico: 6446 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001001 | Endereco Fisico: 6447 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001010 | Endereco Fisico: 7336 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001011 | Endereco Fisico: 7337 | Tamanho: 4096 | id: 14
Bloco de id 6 da página 6479 swap-out para o disco
Bloco de id 6 da página 7368 swap-out para o disco
Bloco de id 6 da página 7369 swap-out para o disco
Bloco de id 6 da página 7378 swap-out para o disco
Bloco de id 6 da página 7379 swap-out para o disco
Bloco de id 6 da página 7468 swap-out para o disco
Bloco de id 6 da página 7469 swap-out para o disco
Bloco de id 6 da página 7478 swap-out para o disco
Bloco de id 6 da página 7479 swap-out para o disco
Bloco de id 6 da página 8176 swap-out para o disco
Bloco de id 6 da página 8177 swap-out para o disco
Bloco de id 6 da página 8186 swap-out para o disco
Bloco de id 6 da página 8187 swap-out para o disco
Bloco de id 6 da página 4180 swap-out para o disco
Bloco de id 6 da página 4181 swap-out para o disco
Bloco de id 6 da página 4190 swap-out para o disco
Bloco de id 6 da página 4191 swap-out para o disco
Bloco de id 6 da página 5080 swap-out para o disco
Bloco de id 6 da página 5081 swap-out para o disco
Bloco de id 6 da página 5090 swap-out para o disco
Bloco de id 6 da página 5091 swap-out para o disco
Bloco de id 6 da página 5180 swap-out para o disco
Bloco de id 6 da página 5181 swap-out para o disco
Bloco de id 6 da página 5190 swap-out para o disco
Bloco de id 6 da página 5191 swap-out para o disco
| Endereco Virtual: 100001100 | Endereco Fisico: 5191 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001101 | Endereco Fisico: 6479 | Tamanho: 4096 | id: 14
